,game_id,home_team,away_team,posteam,defteam,game_date,drive,yards_gained,total_home_score,total_away_score,punt_blocked,first_down_rush,first_down_pass,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,interception,punt_inside_twenty,punt_in_endzone,kickoff_inside_twenty,kickoff_in_endzone,solo_tackle,tackled_for_loss,own_kickoff_recovery,rush_attempt,sack,punt_attempt,fumble,fourth_down_converted_away,interception_away,own_kickoff_recovery_away,sack_away,punt_blocked_away,punt_inside_twenty_away,punt_in_endzone_away,yards_gained_away,Pass_comp_percentage,Pass_comp_percentage_away,rush_attempt_away,third_down_converted_away,away_drive,away_first_down_rush,away_first_down_pass,away_third_down_failed,away_fourth_down_failed,away_kickoff_inside_twenty,away_kickoff_in_endzone,away_solo_tackle,away_tackled_for_loss,away_punt_attempt,away_fumble
23,2009092003,JAC,ARI,ARI,JAC,2009-09-20,11,372.0,17,30,0.0,4.0,13.0,6.0,10.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,46.0,4.0,0.0,20.0,4.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,383.0,0.5476190476190477,0.84375,28.0,2.0,11,7.0,15.0,7.0,0.0,0.0,1.0,46.0,1.0,3.0,3.0
24,2009092002,GB,CIN,GB,CIN,2009-09-20,11,311.0,23,31,0.0,5.0,13.0,6.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,42.0,0.0,0.0,18.0,6.0,6.0,2.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,319.0,0.5384615384615384,0.7142857142857143,34.0,9.0,11,7.0,10.0,5.0,0.0,1.0,2.0,37.0,2.0,4.0,2.0
25,2009092010,SF,SEA,SEA,SF,2009-09-20,11,379.0,23,10,0.0,8.0,7.0,5.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,46.0,2.0,0.0,29.0,4.0,6.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,283.0,0.7037037037037037,0.625,23.0,4.0,12,5.0,12.0,10.0,1.0,1.0,1.0,49.0,2.0,7.0,2.0
26,2009092009,BUF,TB,TB,BUF,2009-09-20,12,438.0,32,20,0.0,8.0,13.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,31.0,4.0,0.0,35.0,2.0,3.0,1.0,3.0,2.0,0.0,2.0,0.0,3.0,0.0,353.0,0.7,0.5416666666666666,19.0,4.0,12,4.0,13.0,12.0,1.0,0.0,3.0,29.0,4.0,6.0,1.0
27,2009092013,SD,BAL,SD,BAL,2009-09-20,11,474.0,26,31,0.0,4.0,14.0,7.0,9.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,44.0,3.0,0.0,21.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,311.0,0.5813953488372093,0.6923076923076923,32.0,4.0,11,9.0,11.0,7.0,0.0,0.0,2.0,38.0,3.0,4.0,2.0
28,2009092012,DEN,CLE,DEN,CLE,2009-09-20,12,449.0,27,6,0.0,9.0,13.0,8.0,7.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,45.0,1.0,0.0,37.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,200.0,0.5135135135135135,0.6,21.0,3.0,11,1.0,9.0,11.0,0.0,1.0,2.0,42.0,1.0,6.0,2.0
29,2009092011,CHI,PIT,CHI,PIT,2009-09-20,10,275.0,17,14,0.0,2.0,13.0,7.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,44.0,1.0,0.0,18.0,1.0,6.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,308.0,0.7105263157894737,0.6764705882352942,22.0,6.0,9,7.0,13.0,6.0,0.0,0.0,0.0,41.0,5.0,3.0,1.0
30,2009092014,DAL,NYG,DAL,NYG,2009-09-20,12,378.0,31,32,0.0,15.0,7.0,6.0,5.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,42.0,2.0,0.0,29.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,427.0,0.5,0.6578947368421053,26.0,6.0,13,3.0,14.0,9.0,0.0,1.0,2.0,48.0,4.0,5.0,0.0
31,2009092100,MIA,IND,IND,MIA,2009-09-21,8,403.0,23,27,0.0,14.0,13.0,15.0,6.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,58.0,1.0,0.0,49.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,356.0,0.6875,0.6086956521739131,11.0,3.0,7,3.0,11.0,4.0,0.0,0.0,1.0,21.0,0.0,3.0,0.0
32,2009092700,BAL,CLE,CLE,BAL,2009-09-27,11,479.0,34,3,0.0,9.0,17.0,4.0,7.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,43.0,3.0,0.0,28.0,1.0,4.0,1.0,0.0,4.0,0.0,2.0,0.0,2.0,0.0,186.0,0.7027027027027027,0.7391304347826086,23.0,3.0,11,2.0,8.0,9.0,0.0,0.0,3.0,49.0,5.0,5.0,0.0
